id,Course Code,Title,AU,Programme,Class,Index,Type,Group,Day,Start Time,End Time,Venue,Remark,Prerequisite,Mutually Exclusive With,Not Available To Programme
1,EE2005,ELECTRICAL DEVICES & MACHINES,3,EEE,CORE,32197,TUT,EE01,MON,1330,1450,LT27,," EE2001, EE2101 "," E3010L, EE3010 ",
2,EE2005,ELECTRICAL DEVICES & MACHINES,3,EEE,CORE,32198,TUT,EE02,WED,1330,1450,TR102,," EE2001, EE2101 "," E3010L, EE3010 ",
3,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33037,LEC/STUDIO,EELE,FRI,1430,1720,LT22,"Teaching Wk1,2",," E3071, EE3072, IM2073, IM3072 ",
4,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33037,PRJ,EJ01,MON,930,1220,S2-B4C-15,Teaching Wk3-12,," E3071, EE3072, IM2073, IM3072 ",
5,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33038,LEC/STUDIO,EELE,FRI,1430,1720,LT22,"Teaching Wk1,2",," E3071, EE3072, IM2073, IM3072 ",
6,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33038,PRJ,EJ02,MON,1330,1620,S2-B4C-15,Teaching Wk3-12,," E3071, EE3072, IM2073, IM3072 ",
7,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33039,LEC/STUDIO,EELE,FRI,1430,1720,LT22,"Teaching Wk1,2",," E3071, EE3072, IM2073, IM3072 ",
8,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33039,PRJ,EJ03,TUE,930,1220,S2-B4C-15,Teaching Wk3-12,," E3071, EE3072, IM2073, IM3072 ",
9,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33040,LEC/STUDIO,EELE,FRI,1430,1720,LT22,"Teaching Wk1,2",," E3071, EE3072, IM2073, IM3072 ",
10,EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2,EEE,CORE,33040,PRJ,EJ04,TUE,1330,1620,S2-B4C-15,Teaching Wk3-12,," E3071, EE3072, IM2073, IM3072 ",
11,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33013,LEC/STUDIO,EELE,TUE,1630,1750,LT23,," EE2001,EE2101 ",,
12,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33013,TUT,EE01,MON,930,1050,TR102,," EE2001,EE2101 ",,
13,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33013,LAB,EL01,MON,1330,1620,S2-B4A-01,"Teaching Wk6,9,12"," EE2001,EE2101 ",,
14,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33014,LEC/STUDIO,EELE,TUE,1630,1750,LT23,," EE2001,EE2101 ",,
15,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33014,TUT,EE02,MON,930,1050,TR103,," EE2001,EE2101 ",,
16,EE2102,ANALOG ELECTRONICS,3,EEE,CORE,33014,LAB,EL02,MON,1330,1620,S2-B4A-01,"Teaching Wk5,8,11"," EE2001,EE2101 ",,
